ID,Sex,Length(mm),Diameter(mm),Height(mm),Whole weight(g),Shucked weight(g),Viscera weight(g),Shell weight(g)
412,M,0.58,0.43,0.125,0.9115,0.446,0.2075,0.121
413,I,0.355,0.27,0.075,0.1775,0.079,0.0315,0.054
414,I,0.47,0.365,0.1,0.411,0.175,0.0855,0.135
415,I,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215
416,M,0.28,0.21,0.065,0.0905,0.035,0.02,0.03
417,F,0.52,0.41,0.17,0.8705,0.3735,0.219,0.25
418,F,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245
419,I,0.525,0.4,0.145,0.6095,0.248,0.159,0.175
420,I,0.385,0.3,0.09,0.247,0.1225,0.044,0.0675
421,F,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52
422,F,0.53,0.41,0.145,0.8255,0.375,0.204,0.245
423,I,0.375,0.28,0.085,0.3155,0.187,0.046,0.067
424,I,0.32,0.24,0.07,0.133,0.0585,0.0255,0.041
425,F,0.605,0.485,0.165,1.0735,0.437,0.205,0.33
426,M,0.595,0.47,0.165,1.108,0.4915,0.2325,0.3345
427,F,0.72,0.575,0.18,1.6705,0.732,0.3605,0.501
428,M,0.625,0.495,0.175,1.2075,0.531,0.281,0.3525
429,I,0.61,0.46,0.17,1.278,0.41,0.257,0.37
430,I,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385
431,F,0.51,0.38,0.13,0.584,0.224,0.1355,0.185
432,I,0.62,0.485,0.18,1.1785,0.4675,0.2655,0.39
433,F,0.6,0.5,0.155,1.332,0.6235,0.2835,0.35
434,I,0.565,0.42,0.155,0.743,0.31,0.186,0.231
435,I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028
436,I,0.415,0.32,0.11,0.3735,0.175,0.0755,0.109
437,M,0.6,0.48,0.165,0.9165,0.4135,0.1965,0.2725
438,I,0.36,0.27,0.085,0.196,0.0875,0.035,0.064
439,F,0.45,0.365,0.115,0.5885,0.318,0.121,0.1325
440,F,0.655,0.49,0.16,1.204,0.5455,0.2615,0.3225
441,M,0.62,0.48,0.15,1.266,0.6285,0.2575,0.309
442,F,0.595,0.465,0.145,0.7955,0.3425,0.1795,0.2425
443,I,0.18,0.135,0.08,0.033,0.0145,0.007,0.01
444,F,0.63,0.475,0.175,1.423,0.4155,0.3385,0.49
445,M,0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168
446,M,0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365
447,M,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385
448,M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33
449,I,0.45,0.34,0.12,0.4925,0.241,0.1075,0.12
450,M,0.69,0.53,0.19,1.5955,0.678,0.331,0.48
451,F,0.665,0.52,0.165,1.6885,0.7295,0.407,0.4265
452,M,0.685,0.55,0.2,1.7725,0.813,0.387,0.49
453,M,0.72,0.565,0.2,2.1055,1.017,0.363,0.494
454,F,0.61,0.49,0.17,1.3475,0.7045,0.25,0.3045
455,M,0.385,0.255,0.1,0.3175,0.137,0.068,0.092
456,M,0.695,0.53,0.15,1.477,0.6375,0.3025,0.43
457,I,0.485,0.365,0.09,0.651,0.3165,0.132,0.18
458,F,0.665,0.54,0.195,1.764,0.8505,0.3615,0.47
459,F,0.54,0.42,0.14,0.805,0.369,0.1725,0.21
460,I,0.57,0.45,0.145,0.751,0.2825,0.2195,0.2215
461,M,0.46,0.36,0.135,0.6105,0.1955,0.107,0.235
462,M,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22
463,M,0.59,0.46,0.155,0.906,0.327,0.1485,0.335
464,I,0.575,0.45,0.145,0.872,0.4675,0.18,0.217
465,M,0.645,0.485,0.215,1.514,0.546,0.2615,0.635
466,F,0.525,0.43,0.125,0.813,0.3315,0.166,0.1775
467,I,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18
468,M,0.335,0.265,0.105,0.222,0.0935,0.056,0.075
469,I,0.335,0.25,0.095,0.185,0.0795,0.0495,0.055
470,I,0.61,0.465,0.125,0.9225,0.436,0.19,0.26
471,I,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005
472,F,0.575,0.435,0.155,0.8975,0.4115,0.2325,0.23
473,F,0.605,0.485,0.165,1.0105,0.435,0.209,0.3
474,F,0.465,0.38,0.135,0.579,0.208,0.1095,0.22
475,F,0.33,0.26,0.08,0.2,0.0625,0.05,0.07
476,F,0.69,0.525,0.19,1.492,0.6425,0.3905,0.42
477,M,0.63,0.48,0.185,1.21,0.53,0.2555,0.322
478,M,0.72,0.565,0.2,1.787,0.718,0.385,0.529
479,I,0.24,0.185,0.07,0.0715,0.026,0.018,0.025
480,I,0.36,0.265,0.075,0.1785,0.0785,0.035,0.054
481,F,0.635,0.51,0.175,1.2125,0.5735,0.261,0.36
482,F,0.56,0.46,0.18,0.97,0.342,0.196,0.355
483,I,0.6,0.48,0.17,0.9175,0.38,0.2225,0.29
484,I,0.425,0.31,0.105,0.365,0.159,0.0825,0.105
485,F,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665
486,I,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245
487,M,0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395
488,F,0.57,0.445,0.145,0.8775,0.412,0.217,0.22
489,F,0.505,0.39,0.125,0.5445,0.246,0.15,0.1405
490,M,0.565,0.45,0.115,0.9085,0.398,0.197,0.29
491,I,0.405,0.315,0.105,0.347,0.1605,0.0785,0.1
492,I,0.53,0.42,0.13,0.8365,0.3745,0.167,0.249
493,F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3
494,F,0.7,0.545,0.13,1.556,0.6725,0.374,0.195
495,F,0.64,0.48,0.145,1.1145,0.508,0.24,0.34
496,M,0.615,0.505,0.165,1.167,0.4895,0.2955,0.345
497,I,0.4,0.295,0.095,0.252,0.1105,0.0575,0.066
498,I,0.47,0.35,0.13,0.466,0.1845,0.099,0.145
499,M,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37
500,M,0.545,0.415,0.14,0.82,0.4615,0.127,0.218
501,M,0.505,0.365,0.115,0.521,0.25,0.096,0.15
502,I,0.335,0.25,0.08,0.167,0.0675,0.0325,0.0575
503,M,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415
504,I,0.38,0.285,0.095,0.243,0.0895,0.0665,0.075
505,I,0.475,0.365,0.1,0.1315,0.2025,0.0875,0.123
506,I,0.555,0.43,0.14,0.7665,0.341,0.165,0.23
507,M,0.62,0.5,0.2,1.221,0.4605,0.263,0.43
508,F,0.655,0.515,0.17,1.527,0.8485,0.2635,0.331
509,F,0.63,0.49,0.225,1.336,0.6805,0.259,0.3245
510,M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135
511,M,0.715,0.55,0.175,1.825,0.938,0.3805,0.44
512,I,0.515,0.39,0.11,0.531,0.2415,0.098,0.1615
513,M,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425
514,M,0.555,0.44,0.15,0.838,0.4155,0.146,0.23
515,I,0.485,0.365,0.125,0.426,0.163,0.0965,0.151
516,I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07
517,I,0.215,0.17,0.055,0.0605,0.0205,0.014,0.02
518,F,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525
519,M,0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095
520,I,0.45,0.33,0.1,0.411,0.1945,0.1,0.098
521,M,0.695,0.55,0.22,1.5515,0.566,0.3835,0.445
522,M,0.68,0.535,0.185,1.607,0.7245,0.3215,0.498
523,F,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205
524,I,0.505,0.39,0.15,0.685,0.362,0.131,0.156
525,F,0.56,0.455,0.19,0.714,0.283,0.129,0.275
526,F,0.65,0.545,0.165,1.566,0.6645,0.3455,0.415
527,I,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735
528,I,0.54,0.42,0.14,0.6275,0.2505,0.1175,0.235
529,I,0.45,0.335,0.115,0.3935,0.195,0.071,0.11
530,M,0.575,0.47,0.165,0.853,0.292,0.179,0.35
531,F,0.49,0.4,0.145,0.6635,0.21,0.1295,0.2515
532,M,0.64,0.585,0.195,1.647,0.7225,0.331,0.471
533,M,0.735,0.59,0.225,1.756,0.637,0.3405,0.58
534,M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485
535,M,0.475,0.385,0.12,0.562,0.289,0.0905,0.153
536,F,0.61,0.47,0.16,1.017,0.426,0.2255,0.32
537,F,0.38,0.29,0.105,0.257,0.099,0.051,0.085
538,F,0.555,0.43,0.135,0.812,0.4055,0.163,0.2215
539,M,0.57,0.45,0.14,0.795,0.3385,0.148,0.245
540,I,0.445,0.335,0.1,0.4895,0.2745,0.086,0.1105
541,I,0.53,0.415,0.13,0.694,0.3905,0.111,0.167
542,M,0.725,0.575,0.24,2.21,1.351,0.413,0.5015
543,M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35
544,F,0.585,0.455,0.165,0.998,0.345,0.2495,0.315
545,F,0.64,0.54,0.175,1.221,0.51,0.259,0.39
546,F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205
547,M,0.485,0.37,0.155,0.968,0.419,0.2455,0.2365
548,F,0.46,0.425,0.155,0.746,0.3005,0.152,0.24
549,M,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215
550,I,0.45,0.35,0.14,0.474,0.21,0.109,0.1275
551,F,0.675,0.51,0.195,1.382,0.6045,0.3175,0.3965
552,I,0.335,0.25,0.075,0.1825,0.0705,0.044,0.055
553,I,0.49,0.385,0.115,0.683,0.3265,0.1615,0.165
554,I,0.44,0.33,0.135,0.522,0.17,0.0905,0.195
555,M,0.63,0.53,0.18,1.2795,0.618,0.256,0.315
556,M,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46
557,I,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065
558,F,0.555,0.455,0.18,0.958,0.296,0.195,0.39
559,F,0.66,0.505,0.185,1.528,0.69,0.3025,0.441
560,F,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25
561,M,0.495,0.415,0.165,0.7485,0.264,0.134,0.285
562,F,0.685,0.53,0.17,1.5105,0.7385,0.3525,0.3725
563,I,0.2,0.155,0.04,0.0435,0.0155,0.009,0.007
564,I,0.42,0.305,0.11,0.28,0.094,0.0785,0.0955
565,I,0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045
566,F,0.615,0.475,0.155,1.115,0.484,0.2115,0.355
567,I,0.35,0.265,0.08,0.192,0.081,0.0465,0.053
568,M,0.57,0.45,0.135,1.02,0.546,0.204,0.25
569,M,0.685,0.545,0.205,1.7925,0.8145,0.416,0.461
570,F,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248
571,M,0.47,0.365,0.12,0.612,0.327,0.15,0.14
572,I,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745
573,F,0.61,0.485,0.15,1.2405,0.6025,0.2915,0.3085
574,F,0.45,0.35,0.135,0.56,0.231,0.137,0.145
575,M,0.495,0.39,0.15,0.853,0.3285,0.189,0.27
576,I,0.55,0.42,0.13,0.636,0.294,0.144,0.1755
577,I,0.33,0.24,0.075,0.163,0.0745,0.033,0.048
578,F,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225
579,I,0.2,0.145,0.05,0.036,0.0125,0.008,0.011
580,F,0.66,0.515,0.18,1.523,0.54,0.3365,0.555
581,F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17
582,M,0.65,0.515,0.18,1.463,0.658,0.3135,0.4115
583,I,0.605,0.49,0.165,1.071,0.482,0.1935,0.352
584,M,0.61,0.485,0.175,1.2445,0.544,0.297,0.345
585,I,0.425,0.34,0.105,0.389,0.2015,0.0905,0.088
586,I,0.565,0.43,0.135,0.8545,0.321,0.1775,0.275
587,I,0.44,0.345,0.12,0.365,0.1655,0.083,0.11
588,M,0.48,0.355,0.16,0.464,0.221,0.106,0.239
589,F,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28
590,F,0.345,0.25,0.09,0.203,0.078,0.059,0.055
591,M,0.59,0.46,0.145,0.929,0.38,0.24,0.255
592,M,0.6,0.46,0.155,0.6655,0.285,0.149,0.269
593,M,0.58,0.46,0.15,1.0165,0.491,0.221,0.265
594,F,0.64,0.505,0.165,1.2235,0.5215,0.2695,0.36
595,I,0.56,0.42,0.14,0.837,0.414,0.214,0.2
596,F,0.64,0.51,0.2,1.3905,0.61,0.3315,0.41
597,M,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068
598,F,0.635,0.49,0.175,1.2435,0.5805,0.313,0.305
599,F,0.615,0.475,0.17,1.055,0.543,0.246,0.2345
600,M,0.56,0.435,0.18,0.889,0.36,0.204,0.25
601,M,0.615,0.51,0.15,1.296,0.545,0.3315,0.32
602,M,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04
603,I,0.365,0.275,0.135,0.24,0.108,0.0445,0.0735
604,F,0.67,0.545,0.16,1.5415,0.5985,0.2565,0.495
605,I,0.28,0.205,0.08,0.127,0.052,0.039,0.042
606,F,0.58,0.5,0.165,0.925,0.37,0.185,0.3005
607,I,0.485,0.37,0.1,0.513,0.219,0.1075,0.13
608,I,0.52,0.4,0.11,0.597,0.2935,0.1155,0.16
609,M,0.595,0.455,0.15,1.044,0.518,0.2205,0.27
610,M,0.42,0.34,0.115,0.4215,0.175,0.093,0.135
611,M,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175
612,M,0.635,0.495,0.15,1.081,0.4825,0.242,0.31
613,I,0.425,0.325,0.1,0.398,0.1185,0.0645,0.0945
614,I,0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615
615,I,0.37,0.275,0.1,0.2815,0.1505,0.0505,0.068
616,M,0.605,0.455,0.16,1.1215,0.533,0.273,0.271
617,F,0.48,0.405,0.13,0.6375,0.277,0.1445,0.21
618,I,0.54,0.405,0.15,0.7585,0.307,0.2075,0.19
619,I,0.35,0.265,0.095,0.199,0.073,0.049,0.06
620,M,0.58,0.465,0.175,1.035,0.401,0.1865,0.385
621,M,0.45,0.335,0.14,0.4625,0.164,0.076,0.15
622,F,0.7,0.575,0.205,1.773,0.605,0.447,0.538
623,F,0.62,0.5,0.15,1.293,0.596,0.3135,0.354
624,I,0.56,0.435,0.135,0.72,0.329,0.103,0.251
625,F,0.57,0.455,0.165,1.0595,0.44,0.2195,0.285
626,F,0.72,0.575,0.215,2.1,0.8565,0.4825,0.602
627,I,0.35,0.265,0.11,0.209,0.066,0.059,0.075
628,M,0.57,0.48,0.175,1.185,0.474,0.261,0.38
629,F,0.72,0.575,0.195,2.1505,1.0745,0.382,0.585
630,M,0.455,0.35,0.105,0.416,0.1625,0.097,0.145
631,F,0.57,0.465,0.16,0.8935,0.3145,0.2575,0.263
632,F,0.57,0.445,0.155,1.017,0.5265,0.2025,0.265
633,I,0.34,0.25,0.09,0.179,0.0775,0.033,0.055
634,I,0.535,0.42,0.145,0.926,0.398,0.1965,0.25
635,M,0.63,0.455,0.15,1.1315,0.481,0.2745,0.305
636,I,0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325
637,I,0.525,0.4,0.11,0.6275,0.3015,0.126,0.18
638,I,0.425,0.34,0.1,0.3515,0.1625,0.082,0.094
639,I,0.485,0.38,0.12,0.4725,0.2075,0.1075,0.147
640,M,0.515,0.4,0.14,0.7365,0.2955,0.184,0.185
641,I,0.55,0.425,0.15,0.639,0.269,0.1345,0.217
642,I,0.4,0.305,0.1,0.3415,0.176,0.0625,0.0865
643,F,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515
644,I,0.24,0.17,0.05,0.0545,0.0205,0.016,0.0155
645,M,0.515,0.405,0.13,0.722,0.32,0.131,0.21
646,M,0.6,0.47,0.13,1.0105,0.423,0.219,0.298
647,M,0.53,0.435,0.16,0.883,0.316,0.164,0.335
648,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495
649,M,0.61,0.475,0.17,1.0265,0.435,0.2335,0.3035
650,F,0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11
651,I,0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032
652,I,0.58,0.46,0.14,0.9265,0.4135,0.1845,0.27
653,F,0.635,0.5,0.19,1.29,0.593,0.3045,0.352
654,I,0.395,0.29,0.095,0.3,0.158,0.068,0.078
655,F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38
656,I,0.25,0.19,0.06,0.0765,0.036,0.0115,0.0245
657,F,0.635,0.5,0.175,1.477,0.684,0.3005,0.39
658,M,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245
659,M,0.59,0.49,0.165,1.207,0.559,0.235,0.309
660,F,0.59,0.475,0.155,0.9715,0.371,0.235,0.28
661,I,0.38,0.29,0.1,0.237,0.108,0.0395,0.082
662,I,0.485,0.345,0.16,0.869,0.3085,0.185,0.319
663,M,0.535,0.43,0.155,0.7845,0.3285,0.169,0.245
664,M,0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295
665,I,0.505,0.4,0.145,0.7045,0.334,0.1425,0.207
666,I,0.55,0.435,0.165,0.804,0.34,0.194,0.244
667,M,0.54,0.435,0.14,0.7345,0.33,0.1595,0.213
668,F,0.61,0.49,0.17,1.1775,0.5655,0.2385,0.295
669,M,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475
670,M,0.485,0.385,0.105,0.556,0.296,0.104,0.133
671,F,0.575,0.485,0.165,1.0405,0.419,0.264,0.3
672,M,0.46,0.355,0.14,0.491,0.207,0.115,0.174
673,M,0.64,0.49,0.14,1.194,0.4445,0.238,0.375
674,F,0.555,0.43,0.14,0.7545,0.3525,0.1835,0.2015
675,M,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237
676,M,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24
677,I,0.57,0.445,0.145,0.7405,0.306,0.172,0.1825
678,F,0.63,0.5,0.175,1.1105,0.467,0.268,0.329
679,F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15
680,F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1
681,F,0.625,0.49,0.19,1.7015,0.7465,0.4105,0.3855
682,M,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235
683,M,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195
684,I,0.46,0.36,0.1,0.4635,0.2325,0.093,0.115
685,M,0.505,0.385,0.115,0.4825,0.21,0.1035,0.1535
686,I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05
687,F,0.535,0.42,0.13,0.699,0.3125,0.1565,0.2035
688,F,0.48,0.375,0.105,0.525,0.2185,0.1195,0.155
689,F,0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265
690,I,0.515,0.4,0.14,0.7165,0.3495,0.1595,0.1785
691,I,0.42,0.315,0.11,0.4025,0.1855,0.083,0.1015
692,I,0.46,0.37,0.12,0.5335,0.2645,0.108,0.1345
693,M,0.625,0.47,0.145,1.7855,0.675,0.247,0.3245
694,M,0.27,0.195,0.07,0.106,0.0465,0.018,0.036
695,F,0.38,0.325,0.11,0.3105,0.12,0.074,0.105
696,I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05
697,F,0.58,0.44,0.125,0.7855,0.363,0.1955,0.195
698,I,0.47,0.375,0.12,0.487,0.196,0.099,0.135
699,I,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16
700,F,0.625,0.48,0.2,1.3235,0.6075,0.3055,0.355
701,M,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005
702,M,0.555,0.405,0.19,1.406,0.6115,0.342,0.389
703,I,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196
704,I,0.405,0.29,0.09,0.2825,0.112,0.075,0.0815
705,I,0.42,0.32,0.115,0.376,0.169,0.092,0.1
706,I,0.42,0.32,0.11,0.309,0.115,0.0645,0.0945
707,F,0.58,0.45,0.155,0.93,0.385,0.246,0.265
708,I,0.325,0.24,0.075,0.152,0.065,0.0305,0.045
709,I,0.535,0.4,0.145,0.705,0.3065,0.1365,0.22
710,I,0.425,0.345,0.125,0.425,0.16,0.0795,0.154
711,M,0.57,0.435,0.13,0.7535,0.349,0.1755,0.194
712,F,0.465,0.39,0.11,0.6355,0.1815,0.157,0.225
713,M,0.525,0.425,0.19,0.872,0.4625,0.1725,0.199
714,M,0.565,0.445,0.15,0.796,0.3635,0.184,0.219
715,I,0.475,0.35,0.11,0.4565,0.206,0.099,0.13
716,F,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515
717,F,0.535,0.425,0.135,0.771,0.3765,0.1815,0.1795
718,I,0.5,0.395,0.12,0.537,0.2165,0.1085,0.1785
719,F,0.665,0.5,0.15,1.2475,0.4625,0.2955,0.3595
720,I,0.475,0.355,0.125,0.4865,0.2155,0.1105,0.142
721,M,0.69,0.525,0.2,1.7825,0.9165,0.3325,0.461
722,M,0.63,0.49,0.155,1.2525,0.63,0.246,0.289
723,M,0.5,0.4,0.125,0.6725,0.336,0.12,0.1825
724,M,0.635,0.515,0.16,1.2075,0.5385,0.282,0.345
725,I,0.52,0.395,0.125,0.5805,0.2445,0.146,0.165
726,F,0.52,0.46,0.15,1.019,0.523,0.1985,0.254
727,F,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276
728,I,0.43,0.315,0.115,0.384,0.1885,0.0715,0.11
729,F,0.625,0.445,0.16,1.09,0.46,0.2965,0.304
730,F,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475
731,I,0.415,0.325,0.11,0.316,0.1385,0.0795,0.0925
732,I,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09
733,F,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205
734,F,0.475,0.38,0.14,0.689,0.3165,0.1315,0.1955
735,F,0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165
736,M,0.6,0.45,0.195,1.34,0.617,0.3255,0.3605
737,M,0.585,0.51,0.16,1.218,0.639,0.241,0.3
738,M,0.465,0.375,0.11,0.5,0.21,0.113,0.1505
739,M,0.62,0.48,0.165,1.0855,0.481,0.2575,0.305
740,F,0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185
741,I,0.395,0.295,0.1,0.293,0.14,0.062,0.082
742,M,0.67,0.5,0.2,1.269,0.576,0.2985,0.351
743,F,0.515,0.425,0.135,0.712,0.2665,0.1605,0.25
744,M,0.645,0.49,0.16,1.251,0.5355,0.3345,0.3165
745,F,0.565,0.46,0.15,0.8765,0.3455,0.1925,0.275
746,F,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065
747,F,0.72,0.58,0.195,2.103,1.0265,0.48,0.5375
748,F,0.43,0.34,0.11,0.382,0.154,0.0955,0.109
749,F,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332
750,M,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485
751,F,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865
752,I,0.445,0.36,0.11,0.4235,0.182,0.0765,0.14
753,F,0.675,0.525,0.17,1.711,0.8365,0.352,0.475
754,I,0.37,0.275,0.085,0.2045,0.096,0.056,0.08
755,M,0.51,0.415,0.145,0.751,0.3295,0.1835,0.203
756,I,0.38,0.28,0.085,0.2735,0.115,0.061,0.085
757,M,0.575,0.435,0.15,0.805,0.293,0.1625,0.27
758,I,0.435,0.325,0.12,0.346,0.159,0.084,0.095
759,I,0.525,0.4,0.125,0.6965,0.369,0.1385,0.164
760,M,0.575,0.465,0.15,1.08,0.595,0.2065,0.238
761,I,0.46,0.36,0.105,0.466,0.2225,0.099,0.11
762,I,0.61,0.465,0.15,0.9605,0.4495,0.1725,0.286
763,I,0.365,0.27,0.085,0.2225,0.0935,0.0525,0.066
764,F,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525
765,M,0.51,0.41,0.145,0.796,0.3865,0.1815,0.1955
766,F,0.635,0.485,0.155,1.073,0.467,0.1975,0.35
767,M,0.635,0.52,0.175,1.292,0.6,0.269,0.367
768,M,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22
769,F,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263
770,I,0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475
771,I,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065
772,F,0.65,0.52,0.195,1.281,0.5985,0.246,0.3825
773,F,0.635,0.505,0.185,1.3035,0.501,0.295,0.41
774,F,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985
775,I,0.205,0.155,0.045,0.0495,0.0235,0.011,0.014
776,F,0.59,0.45,0.16,0.9,0.358,0.156,0.315
777,M,0.71,0.56,0.22,2.015,0.9215,0.454,0.566
778,F,0.545,0.415,0.16,0.7715,0.272,0.1455,0.2765
779,F,0.5,0.405,0.15,0.5965,0.253,0.126,0.185
780,M,0.415,0.325,0.14,0.417,0.1535,0.1015,0.144
781,F,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2
782,M,0.475,0.365,0.14,0.6175,0.202,0.1445,0.19
783,F,0.625,0.495,0.165,1.262,0.507,0.318,0.39
784,M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1
785,M,0.595,0.455,0.15,0.886,0.4315,0.201,0.223
786,F,0.675,0.57,0.225,1.587,0.739,0.2995,0.435
787,F,0.725,0.53,0.19,1.7315,0.83,0.398,0.405
788,M,0.385,0.295,0.095,0.335,0.147,0.094,0.09
789,F,0.575,0.45,0.12,0.9585,0.447,0.169,0.275
790,M,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58
791,M,0.525,0.385,0.1,0.5115,0.246,0.1005,0.1455
792,M,0.575,0.45,0.155,0.886,0.3605,0.211,0.2575
793,M,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38
794,M,0.675,0.505,0.16,1.532,0.74,0.357,0.3815
795,I,0.62,0.47,0.155,0.966,0.447,0.171,0.284
796,M,0.64,0.51,0.19,1.613,0.6215,0.361,0.47
797,I,0.425,0.325,0.11,0.317,0.135,0.048,0.09
798,F,0.525,0.4,0.115,0.6295,0.2555,0.144,0.18
799,M,0.65,0.515,0.175,1.466,0.677,0.3045,0.4
800,F,0.67,0.515,0.17,1.4265,0.6605,0.3395,0.37
801,F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165
802,I,0.39,0.295,0.1,0.279,0.1155,0.059,0.08
803,I,0.44,0.34,0.12,0.4995,0.2965,0.0945,0.1185
804,M,0.62,0.51,0.175,1.615,0.5105,0.192,0.675
805,I,0.515,0.405,0.13,0.573,0.213,0.134,0.195
806,F,0.605,0.455,0.145,0.862,0.334,0.1985,0.3
807,M,0.56,0.44,0.14,0.971,0.443,0.2045,0.265
808,I,0.28,0.21,0.075,0.1195,0.053,0.0265,0.03
809,I,0.52,0.38,0.115,0.6645,0.3285,0.17,0.1425
810,M,0.56,0.41,0.165,0.93,0.3505,0.237,0.3
811,M,0.5,0.405,0.155,0.772,0.346,0.1535,0.245
812,M,0.495,0.38,0.12,0.474,0.197,0.1065,0.1545
813,I,0.495,0.375,0.12,0.589,0.3075,0.1215,0.1405
814,M,0.685,0.51,0.18,1.4545,0.6315,0.3105,0.3725
815,M,0.685,0.535,0.155,1.3845,0.6615,0.2145,0.4075
816,M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295
817,F,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185
818,M,0.345,0.27,0.09,0.195,0.078,0.0455,0.059
819,I,0.435,0.325,0.105,0.335,0.136,0.065,0.115
820,M,0.585,0.455,0.155,1.133,0.5515,0.223,0.305
821,I,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107
822,F,0.705,0.535,0.22,1.866,0.929,0.3835,0.4395
823,F,0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185
824,M,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03
